k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
8600,25797,36975700,37001497,0,8599,8599,12863449,1105718,13969167
8700,26097,37840650,37866747,0,8699,8699,11621677,1129671,12751348
8800,26397,38715600,38741997,0,8799,8799,17772406,1145152,18917558
8900,26697,39600550,39627247,0,8899,8899,19775738,1155571,20931309
9000,26997,40495500,40522497,0,8999,8999,18568036,1170982,19739018
9100,27297,41400450,41427747,0,9099,9099,20676093,1181307,21857400
9200,27597,42315400,42342997,0,9199,9199,12499675,1211546,13711221
9300,27897,43240350,43268247,0,9299,9299,13466843,1234503,14701346
9400,28197,44175300,44203497,0,9399,9399,11654357,1265814,12920171
9500,28497,45120250,45148747,0,9499,9499,22477755,1278011,23755766
9600,28797,46075200,46103997,0,9599,9599,21340137,1294244,22634381
9700,29097,47040150,47069247,0,9699,9699,23535470,1304217,24839687
9800,29397,48015100,48044497,0,9799,9799,9580855,1345414,10926269
9900,29697,49000050,49029747,0,9899,9899,12797966,1383583,14181549
100,297,4950,5247,0,99,99,2646,1383688,1386334
200,597,19900,20497,0,199,199,9566,1384101,1393667
300,897,44850,45747,0,299,299,9291,1385344,1394635
400,1197,79800,80997,0,399,399,13238,1387231,1400469
500,1497,124750,126247,0,499,499,31488,1388894,1420382
600,1797,179700,181497,0,599,599,74771,1390643,1465414
700,2097,244650,246747,0,699,699,67062,1392924,1459986
800,2397,319600,321997,0,799,799,96231,1395169,1491400
900,2697,404550,407247,0,899,899,83785,1398808,1482593
1000,2997,499500,502497,0,999,999,96441,1403493,1499934
1100,3297,604450,607747,0,1099,1099,303217,1404798,1708015
1200,3597,719400,722997,0,1199,1199,195742,1408509,1604251
1300,3897,844350,848247,0,1299,1299,288843,1411960,1700803
1400,4197,979300,983497,0,1399,1399,283705,1415833,1699538
1500,4497,1124250,1128747,0,1499,1499,527908,1419074,1946982
1600,4797,1279200,1283997,0,1599,1599,252798,1425577,1678375
1700,5097,1444150,1449247,0,1699,1699,209226,1434488,1643714
1800,5397,1619100,1624497,0,1799,1799,585445,1439169,2024614
1900,5697,1804050,1809747,0,1899,1899,391480,1446086,1837566
2000,5997,1999000,2004997,0,1999,1999,748217,1451365,2199582
2100,6297,2203950,2210247,0,2099,2099,1102462,1453838,2556300
2200,6597,2418900,2425497,0,2199,2199,550884,1462507,2013391
2300,6897,2643850,2650747,0,2299,2299,799462,1469770,2269232
2400,7197,2878800,2885997,0,2399,2399,825076,1478255,2303331
2500,7497,3123750,3131247,0,2499,2499,1219374,1484930,2704304
2600,7797,3378700,3386497,0,2599,2599,804724,1494961,2299685
2700,8097,3643650,3651747,0,2699,2699,924701,1503702,2428403
2800,8397,3918600,3926997,0,2799,2799,823756,1514627,2338383
2900,8697,4203550,4212247,0,2899,2899,1251222,1524692,2775914
3000,8997,4498500,4507497,0,2999,2999,1615143,1533187,3148330
3100,9297,4803450,4812747,0,3099,3099,2405127,1536552,3941679
3200,9597,5118400,5127997,0,3199,3199,1593623,1545835,3139458
3300,9897,5443350,5453247,0,3299,3299,2697764,1550026,4247790
3400,10197,5778300,5788497,0,3399,3399,2391749,1558225,3949974
3500,10497,6123250,6133747,0,3499,3499,2072936,1569748,3642684
3600,10797,6478200,6488997,0,3599,3599,1305479,1588189,2893668
3700,11097,6843150,6854247,0,3699,3699,1416655,1602550,3019205
3800,11397,7218100,7229497,0,3799,3799,1444643,1618433,3063076
3900,11697,7603050,7614747,0,3899,3899,1705883,1632758,3338641
4000,11997,7998000,8009997,0,3999,3999,3287799,1643807,4931606
4100,12297,8402950,8415247,0,4099,4099,3648256,1653198,5301454
4200,12597,8817900,8830497,0,4199,4199,2178345,1669027,3847372
4300,12897,9242850,9255747,0,4299,4299,1646167,1689012,3335179
4400,13197,9677800,9690997,0,4399,4399,3793347,1700501,5493848
4500,13497,10122750,10136247,0,4499,4499,4673379,1708486,6381865
4600,13797,10577700,10591497,0,4599,4599,2116560,1729155,3845715
4700,14097,11042650,11056747,0,4699,4699,3182173,1744542,4926715
4800,14397,11517600,11531997,0,4799,4799,2431553,1765911,4197464
4900,14697,12002550,12017247,0,4899,4899,2612158,1783794,4395952
5000,14997,12497500,12512497,0,4999,4999,5919270,1791953,7711223
5100,15297,13002450,13017747,0,5099,5099,6053798,1802710,7856508
5200,15597,13517400,13532997,0,5199,5199,2792056,1822725,4614781
5300,15897,14042350,14058247,0,5299,5299,3979536,1838782,5818318
5400,16197,14577300,14593497,0,5399,5399,5917510,1853033,7770543
5500,16497,15122250,15138747,0,5499,5499,6731750,1864420,8596170
5600,16797,15677200,15693997,0,5599,5599,7060900,1875065,8935965
5700,17097,16242150,16259247,0,5699,5699,6990244,1888004,8878248
5800,17397,16817100,16834497,0,5799,5799,8398888,1894795,10293683
5900,17697,17402050,17419747,0,5899,5899,5207303,1914276,7121579
6000,17997,17997000,18014997,0,5999,5999,7044184,1930423,8974607
6100,18297,18601950,18620247,0,6099,6099,6783814,1950752,8734566
6200,18597,19216900,19235497,0,6199,6199,8718205,1964549,10682754
6300,18897,19841850,19860747,0,6299,6299,9757374,1973104,11730478
6400,19197,20476800,20495997,0,6399,6399,7473197,1987149,9460346
6500,19497,21121750,21141247,0,6499,6499,10474065,1996132,12470197
6600,19797,21776700,21796497,0,6599,6599,10838481,2004689,12843170
6700,20097,22441650,22461747,0,6699,6699,6277674,2024258,8301932
