k,operations_bottom,operations_topDown
6300,29365,31588
6400,29925,32032
6500,30795,33328
6600,30770,33656
6700,31485,33964
6800,32215,35124
6900,32305,34664
7000,33080,35816
7100,33530,36148
7200,33755,36376
7300,34545,38324
7400,34830,37892
7500,35425,38584
7600,36165,39496
7700,36650,40444
7800,36485,39412
7900,37080,39420
8000,37890,41100
8100,38055,40552
8200,38565,42028
8300,39145,42772
8400,39440,42624
8500,40170,43672
8600,40590,44424
8700,40665,44772
8800,41550,44660
8900,41640,44956
9000,42260,46160
9100,42640,45972
9200,43100,46812
9300,43970,47876
9400,44490,47544
9500,44800,48564
9600,45265,48644
9700,45410,48868
9800,45970,49552
9900,46970,51192
100,480,576
200,840,864
300,1345,1456
400,1780,1880
500,2335,2596
600,2795,3088
700,3230,3696
800,3755,4188
900,4215,4660
1000,4690,5008
1100,5050,5400
1200,5660,6380
1300,6170,6784
1400,6605,7040
1500,7065,7708
1600,7540,8228
1700,7920,8852
1800,8340,8996
1900,8820,9524
2000,9475,10728
2100,9980,11236
2200,10435,11660
2300,10785,11392
2400,11490,12548
2500,11735,12856
2600,12305,13196
2700,12680,13564
2800,13330,14380
2900,13740,14376
3000,14030,15064
3100,14715,16304
3200,15200,16720
3300,15795,17572
3400,15970,17144
3500,16400,17848
3600,16915,18688
3700,17380,19184
3800,18175,19880
3900,18190,19488
4000,18585,19988
4100,19315,21068
4200,19870,21224
4300,20190,21760
4400,20775,22316
4500,21565,23516
4600,21360,22636
4700,22260,24276
4800,22720,24384
4900,22915,24788
5000,23240,25368
5100,24185,26216
5200,24835,27196
5300,25325,27904
5400,25430,27300
5500,25530,27256
5600,26480,28456
5700,26495,28632
5800,27340,29672
5900,27745,29864
6000,28235,30988
6100,28435,30192
6200,29275,32016
6300,29700,32424
6400,30255,33096
6500,30490,33184
6600,31285,33668
6700,31010,33108
6800,31595,34132
6900,32365,35244
7000,33360,36456
7100,33360,36000
7200,34335,37480
7300,34690,37796
7400,34925,37708
7500,35175,38140
7600,36095,39316
7700,36465,39636
7800,36590,39412
7900,37375,40580
8000,37505,39760
8100,37925,41264
8200,38855,42560
8300,39040,41944
8400,39735,43168
8500,40065,43044
8600,40690,44204
8700,41160,45544
8800,41260,44280
8900,41745,45848
9000,42480,45784
9100,43225,47332
9200,43435,46872
9300,43905,47244
9400,44135,47536
9500,44985,49368
9600,45010,48536
9700,45375,48948
9800,46165,49976
9900,46660,51200
