k,operations_quickSort,operationsHeapSort
6100,253578,362925
6200,254448,370160
6300,236016,376820
6400,243652,383985
6500,256011,389860
6600,262117,396475
6700,250149,403355
6800,256148,410920
6900,260246,417520
7000,273800,423555
7100,288215,430125
7200,301632,436555
7300,281727,443930
7400,267120,450730
7500,285446,457110
7600,310887,464360
7700,325019,470995
7800,301825,477590
7900,365453,484790
8000,323334,491225
8100,323250,497000
8200,310343,504995
8300,344296,511760
8400,332874,518290
8500,353239,525775
8600,350850,533245
8700,360479,539915
8800,379198,546030
8900,364064,553705
9000,392236,560705
9100,361060,567415
9200,375269,574425
9300,379379,581915
9400,384654,588935
9500,376499,595950
9600,381768,601980
9700,452756,609880
9800,429190,616550
9900,391857,624410
100,2027,2970
200,4193,7020
300,7671,11375
400,9560,15970
500,12371,20855
600,16129,25630
700,19559,30800
800,24329,36030
900,26268,41125
1000,28621,46470
1100,36752,51820
1200,38916,57275
1300,38757,62800
1400,37346,68540
1500,49169,74340
1600,49685,79755
1700,53519,85455
1800,58604,91170
1900,62953,96995
2000,67565,102825
2100,74053,108875
2200,75997,114545
2300,87012,120925
2400,77626,126530
2500,81713,133170
2600,84571,138895
2700,94613,145325
2800,107769,151115
2900,93715,156900
3000,114848,163060
3100,107870,169685
3200,116181,176045
3300,133793,182110
3400,122607,187635
3500,140911,194415
3600,130593,200420
3700,142788,206700
3800,151263,213305
3900,143826,219190
4000,152934,225525
4100,154063,231700
4200,152559,238060
4300,157370,244630
4400,164366,251455
4500,184772,257895
4600,173063,264320
4700,167523,270640
4800,182315,277255
4900,178170,283725
5000,186995,290475
5100,192508,296825
5200,203719,303875
5300,192148,310405
5400,215697,317095
5500,217527,323070
5600,229866,330210
5700,246267,337240
5800,227172,343705
5900,222873,349995
6000,217012,356465
6100,241278,363270
6200,242716,369830
6300,254801,377085
6400,249470,383680
6500,260491,390025
6600,236074,397415
6700,273759,403755
6800,279908,410060
6900,284888,417315
7000,277204,423945
7100,281062,430410
7200,302250,437405
7300,285789,443895
7400,262710,450605
7500,320577,457355
7600,286818,463680
7700,306277,471325
7800,298475,477360
7900,316615,484365
8000,339041,491110
8100,372652,497700
8200,341081,504730
8300,341473,511100
8400,324946,518655
8500,326204,525485
8600,350502,532485
8700,347848,539300
8800,350921,546855
8900,361269,553095
9000,404223,560680
9100,384050,567530
9200,396952,574335
9300,395618,581355
9400,420039,588760
9500,395938,595420
9600,383650,602405
9700,374423,609555
9800,399274,616485
9900,435729,624550
