k,assignments_bubble,comparisons_bubble
300,67704,44550
400,107412,79610
500,177687,124695
600,274941,179609
700,372366,243054
800,514527,319594
900,594873,404522
1000,737868,498069
1100,874632,603855
1200,1054779,713072
1300,1227741,843915
1400,1450806,978772
1500,1684410,1124172
1600,1916646,1278969
1700,2108007,1441147
1800,2392407,1614249
1900,2738844,1802724
2000,3015435,1997622
2100,3273357,2203047
2200,3650790,2417360
2300,3998487,2642674
2400,4329084,2878059
2500,4797156,3113597
2600,5094570,3368260
2700,5518671,3642615
2800,5960652,3917274
2900,6322761,4200229
3000,6900066,4496355
3100,7094586,4801172
3200,7661613,5117697
3300,8107122,5443305
3400,8783841,5777739
3500,9093048,6113097
3600,9610761,6475854
3700,10088775,6842370
3800,10702668,7213540
3900,11407389,7588515
4000,11958798,7993722
4100,12694338,8401354
4200,13305138,8815199
4300,13842720,9242415
4400,14238222,9663094
4500,15130845,10119975
4600,15572826,10567260
4700,16664580,11041747
4800,17331852,11512140
4900,17830209,12001224
5000,18585441,12494725
5100,19372782,12981335
5200,20087595,13517295
5300,20940039,14037499
5400,21868035,14566125
5500,22799088,15119622
5600,23385372,15676735
5700,24388116,16229589
5800,25297728,16815504
5900,26362020,17400672
6000,26914257,17996334
6100,27667056,18598295
6200,28995462,19210572
6300,30046842,19837290
6400,31172253,20472972
6500,31982604,21110724
6600,33134238,21776349
6700,33150573,22441595
6800,34868211,23116594
6900,35693124,23792370
7000,36408921,24485175
7100,37587357,25199035
7200,38652996,25909959
7300,40142667,26639697
7400,40146462,27373599
7500,41819763,28099305
7600,43235112,28870205
7700,44732829,29638735
7800,45119145,30416099
7900,47000685,31196772
8000,47823984,31987354
8100,49099203,32794509
8200,50223012,33610749
8300,51556593,34436755
8400,53316831,35272640
8500,54704442,36119930
8600,56035524,36971514
8700,56450334,37835085
8800,57677583,38712279
8900,59940072,39594664
9000,60820704,40480449
9100,62333403,41399225
9200,63563736,42312397
9300,65386317,43227470
9400,66005139,44170047
9500,67713432,45115399
9600,68847624,46064322
9700,70706913,47037594
9800,72569007,48014110
9900,72764706,48981905
100,7836,4950
200,27684,19747
300,62541,44550
400,115752,79610
500,182865,124579
600,260343,179447
700,361503,244605
800,490959,319545
900,624177,404022
